建物名,家賃(万円),間取り,管理費
アークアムール弐番館,6.8,2DK,3500円
一条貸家（平屋）,5.0,2K,なし
平田様方貸家,7.5,3LDK,なし
新田第６ハイツ,6.0,3DK,5000円
日東ハイツ,7.8,1LDK,5000円
メゾンドネージュ10号館,5.1,3DK,3500円
メゾンドネージュ10号館,5.5,3DK,3500円
ステイトヤマノウチ,14.8,4LDK,なし
ステイトヤマノウチ,14.8,4LDK,なし
テレパレス大宮三橋II,6.7,1LDK,3000円
エステートガーデン浦和ウエスト,6.8,2DK,3000円
澤田様方貸家,6.0,2DK,3000円
沼尾ハイツ,6.2,2LDK,3000円
染谷貸家,5.5,2LDK,なし
浦和原山一丁目戸建て,6.0,3LDK,なし
ＪＲ埼京線 南与野駅 2階建 築39年,3.1,1K,2000円
内野本郷ハウス,7.0,4LDK,なし
浦和東マンション,6.7,3DK,3000円
浦和東マンション,7.0,3LDK,5000円
浦和東マンション,7.0,3LDK,5000円
風見鶏グランドハイツII,6.9,3DK,3000円
風見鶏グランドハイツII,6.9,3DK,3000円
風見鶏グランドハイツII,7.0,3DK,5000円
メゾン中郷,6.8,3DK,4000円
メゾンコルザ,7.8,3DK,4500円
ブルーベリーハイツ,6.6,3DK,4000円
ＪＲ武蔵野線 東浦和駅 2階建 築34年,6.6,3LDK,4000円
ビレッジハウス大谷2号棟,7.38,3DK,なし
ビレッジハウス大谷2号棟,7.41,3DK,なし
大宮公園貸家,11.0,2LDK,なし
西区飯田　DIY対応型・戸建賃貸,8.5,6SK,なし
加茂川団地 4号棟,4.5,2LDK,8000円
セジュール彩　弐番館,7.3,2LDK,5000円
スカイコーポ,4.7,2K,なし
メマリス・ソート　Ｂ棟,6.4,2DK,3500円
ＪＲ京浜東北線 浦和駅 3階建 築50年,7.0,3LDK,5000円
ゴールドマンション小熊ＰＡＲＴ２,7.0,2LDK,7500円
パールハイツ榎,8.3,2LDK,3000円
アーバンハイツ２,3.5,1K,2000円
北原荘,4.5,2DK,3000円
Ｆｅｌｉｃｅ浦和,4.7,ワンルーム,なし
神山ハイツ,5.5,1K,5000円
オークリーフ,6.1,2DK,2000円
オークリーフ,6.2,2DK,2000円
オークリーフ,6.2,2DK,2000円
矢作コーポ,6.3,3DK,2000円
浦和昭和ビル,6.7,3DK,3000円
セジュールネオサイト　I,8.3,3DK,6000円
ＪＲ埼京線 与野本町駅 2階建 築34年,13.0,5SLDK,なし
浦和東マンションＣ棟,6.7,3DK,3000円
浦和東マンションＣ棟,7.0,3LDK,5000円
西野様方貸家,6.7,3K,3000円
ＪＲ京浜東北線 北浦和駅 3階建 築32年,7.6,3LDK,5000円
ＪＲ京浜東北線 北浦和駅 3階建 築32年,7.9,3DK,5000円
レオパレスレジデンス,4.7,1K,7000円
レオパレスレジデンス,4.9,1K,7000円
レオパレスレジデンス,5.8,1K,7000円
レオパレスレジデンス,6.1,1K,7000円
レオパレスレジデンス,6.2,1K,7000円
レオパレスレジデンス,6.7,1K,7000円
レオパレス高雄　7623,4.4,1K,5000円
レオパレス高雄　7623,4.5,1K,5000円
レオパレス高雄　7623,5.4,ワンルーム,5000円
レオパレス高雄　7623,5.4,1K,5000円
レオパレス高雄　7623,5.9,1K,5000円
第二スカイコーポ,4.5,1K,なし
第二スカイコーポ,4.5,1K,なし
浦和下木崎住宅第二団地5号棟,6.6,3DK,3000円
カピス大宮,7.0,2LDK,5000円
カピス大宮,7.0,2LDK,5000円
グランパレス弥生,7.6,3DK,5000円
グランパレス弥生,7.9,3LDK,5000円
境貸家,9.0,5DK,なし
荻嶋グリーンハイツ,14.0,2DK,5000円
荻嶋グリーンハイツ,14.5,2DK,5000円
ＪＲ埼京線 大宮駅 4階建 築41年,14.0,2DK,5000円
東観グランドマンション,5.5,1SK,3000円
東観グランドマンション,6.0,ワンルーム,5000円
アクアハウス,13.0,5SLDK,なし
宮腰ハイツＢ,5.2,2DK,3000円
加藤アパート,5.4,3DK,なし
パルハウス東新井,5.8,2K,2000円
ホワイトオークヴィラ中尾台,7.5,3DK,なし
ヴィラ・グレース,7.6,3DK,2000円
西浦和スタジオ,9.5,6DK,3300円
パークサイド御蔵戸建,9.5,2SLDK,なし
浦和彩々,4.8,ワンルーム,なし
浦和彩々,4.8,ワンルーム,4000円
マイホーム小溝,6.0,2DK,なし
岩槻ハウス,6.8,2LDK,なし
岩槻ハウス,6.8,2LDK,なし
石田マンション,8.2,1SLDK,3000円
三室戸建て,8.9,3LDK,なし
三室戸建て,8.9,3LDK,なし
三室戸建て,9.5,3DK,なし
ロイヤルヒルズＡ棟,8.8,3LDK,6000円
ロイヤルヒルズＡ棟,10.0,1LDK,6000円
ロイヤルヒルズＡ棟,11.0,1LDK,6000円
奈良町戸建（金井様）　短期専用,9.0,4LDK,なし
クレインヒル岩槻小溝,5.7,3DK,なし
パールコーポ,5.7,2DK,3000円
松沢マンション,6.7,3LDK,3000円
松沢マンション,7.5,3DK,3000円
アーバンみらい東大宮東三番街第１０号棟,7.8,2LDK,10000円
アーバンみらい東大宮東三番街第１０号棟,8.8,2LDK,12000円
常盤６丁目Ｋ邸,19.5,7LDK,なし
ＪＲ埼京線 与野本町駅 地下1地上2階建 築40年,2.4,1K,3000円
メゾンカルチェラタン,3.1,1K,2000円
美鈴ハイツ,3.2,1K,3000円
本郷町貸戸建 -,12.0,4SLDK,なし
ディアハイツ１Ｋ,3.9,ワンルーム,1000円
ときわ荘,4.0,1K,なし
エスペランス,4.0,ワンルーム,1000円
日進１丁目戸建（吉田様）,10.0,4DK,なし
メゾンスヌーピー,5.0,1DK,2000円
上大久保戸建,7.0,4DK,なし
モンレーヴ浦和I,5.7,3DK,3000円
レナジア大宮,5.9,2LDK,3000円
新田第５中島ハイツ,6.0,1LDK,5000円
新田第５中島ハイツ,6.0,1LDK,5000円
第１笹屋マンション,6.3,2DK,3000円
ＪＲ京浜東北線 北浦和駅 4階建 築50年,8.2,1SLDK,3000円
松栄大宮マンション,8.2,2DK,3000円
小池大谷場２貸家,9.0,4DK,なし
大宮七里グリーンハイツ 2号棟,8.7,4DK,5000円
ウエストハイム　III,9.5,2LDK,4500円
ウエストハイム　III,9.9,2LDK,4500円
松本2丁目貸家,10.0,3LDK,10000円
吉野原丸徳マンション,4.3,2DK,2000円
吉野原丸徳マンション,4.5,2DK,2000円
吉野原丸徳マンション,5.4,2DK,なし
シャトーズフジミ,3.0,ワンルーム,2000円
シャトーズフジミ,3.0,ワンルーム,2000円
シャトーズフジミ,3.0,ワンルーム,2000円
シャトーズフジミ,3.0,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
シャトーズフジミ,3.1,ワンルーム,2000円
ハイツ中川,3.0,ワンルーム,3000円
ハイツ中川,3.2,1K,2000円
ハイツ中川,3.4,1K,2000円
テラス大宮,5.3,3DK,3000円
テラス大宮,5.3,2DK,3000円
テラス大宮,5.6,2DK,4000円
パナホーム諏訪,4.5,ワンルーム,2000円
グリーンハイツ,4.5,2DK,3000円
秀和マンション,5.8,2DK,3000円
